typ,arkusz,naglowek,plan_ustawa_2025,plan_po_zmianach_2025,wykonanie_2025_FTE
państwowa osoba prawna,56 ŚPN,56.0 / 251.0 / VERSION_ID / 68477930.0 / ŚWIĘTOKRZYSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 56 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Czę,54.0,54.0,54.0
państwowa osoba prawna,57 TPN,57.0 / 250.0 / VERSION_ID / 68477810.0 / TATRZAŃSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 57 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część ,157.0,157.0,147.13
państwowa osoba prawna,58 PNUW,"58.0 / 251.0 / VERSION_ID / 68480302.0 / PARK NARODOWY ""UJŚCIE WARTY"" / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 58 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Cz",30.0,30.0,26.0
państwowa osoba prawna,59 WPN,59.0 / 251.0 / VERSION_ID / 68094732.0 / WIELKOPOLSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 59 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Częś,48.0,48.0,48.0
państwowa osoba prawna,60 WIGPN,60.0 / 251.0 / VERSION_ID / 68483174.0 / WIGIERSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 60 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część A,80.0,80.0,74.0
państwowa osoba prawna,61 WOLPN,61.0 / 250.0 / VERSION_ID / 68483850.0 / WOLIŃSKI PARK NARODOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 61 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część A ,60.0,60.0,60.0
państwowa osoba prawna,62 PISM,62.0 / 164.0 / VERSION_ID / 68026486.0 / POLSKI INSTYTUT SPRAW MIĘDZYNARODOWYCH / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 62 / XX_RAP_SPRAW_Z37 / YEAR / 2,81.0,81.0,80.0
państwowa osoba prawna,63 AOTMiT,63.0 / 179.0 / VERSION_ID / 68813884.0 / AGENCJA OCENY TECHNOLOGII MEDYCZNYCH I TARYFIKACJI / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 63 / XX_RAP_SPRAW_Z3,270.0,270.0,265.0
państwowa osoba prawna,64 ABM,64.0 / 181.0 / VERSION_ID / 68371336.0 / AGENCJA BADAŃ MEDYCZNYCH / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 64 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część ,145.0,145.0,144.0
państwowa osoba prawna,65 ZUS,65.0 / 191.0 / VERSION_ID / 68031912.0 / ZAKŁAD UBEZPIECZEŃ SPOŁECZNYCH / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 65 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / ,45000.0,45000.0,43793.0
państwowa osoba prawna,66 PANA,66.0 / 175.0 / VERSION_ID / 68378523.0 / POLSKA AGENCJA NADZORU AUDYTOWEGO / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 66 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0,130.0,130.0,117.84
państwowa osoba prawna,67 RF,67.0 / 153.0 / VERSION_ID / 68800905.0 / RZECZNIK FINANSOWY / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 67 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część A / Pl,215.0,224.0,205.0
państwowa osoba prawna,68 AK,68.0 / 161.0 / VERSION_ID / 68584192.0 / AKADEMIA KOPERNIKAŃSKA / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 68 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część A ,20.0,8.0,8.0
państwowa osoba prawna,69 IRJP,69.0 / 141.0 / VERSION_ID / 67908046.0 / INSTYTUT ROZWOJU JĘZYKA POLSKIEGO IM. ŚW. MAKSYMILIANA MARII KOLBEGO / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 69,35.0,35.0,31.1
państwowa osoba prawna,70 FRD,70.0 / 160.0 / VERSION_ID / 68031913.0 / FUNDUSZ REZERWY DEMOGRAFICZNEJ / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 70 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / ,0.0,0.0,
państwowa osoba prawna,71 FSUSR,71.0 / 181.0 / VERSION_ID / 68451629.0 / FUNDUSZ SKŁADKOWY UBEZPIECZENIA SPOŁECZNEGO ROLNIKÓW / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 71 / XX_RAP_SPRAW_,41.0,41.0,38.55
państwowa osoba prawna,72 FMKRUS,72.0 / 138.0 / VERSION_ID / 67629189.0 / FUNDUSZ MOTYWACYJNY KASA ROLNICZEGO UBEZPIECZENIA SPOŁECZNEGO / Formatted: / N / DOC_ATT_TYPE / 14.0 / TABELA 72 / XX_R,0.0,0.0,
instytucja gospodarki budżetowej,1 COKRP,1.0 / 245.0 / VERSION_ID / 67710094.0 / CENTRUM OBSŁUGI KANCELARII PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ / Formatted: / Y / DOC_ATT_TYPE / 12.0 / TABELA 1 / XX_R,300.0,300.0,294.63
instytucja gospodarki budżetowej,2 CZDS,2.0 / 162.0 / VERSION_ID / 68373773.0 / CENTRUM ZAKUPÓW DLA SĄDOWNICTWA INSTYTUCJA GOSPODARKI BUDŻETOWEJ / Formatted: / N / DOC_ATT_TYPE / 12.0 / TABELA 2 / XX_,65.0,73.0,75.75
instytucja gospodarki budżetowej,3 COAR,3.0 / 196.0 / VERSION_ID / 68487199.0 / CENTRUM OBSŁUGI ADMINISTRACJI RZĄDOWEJ / Formatted: / N / DOC_ATT_TYPE / 12.0 / TABELA 3 / XX_RAP_SPRAW_Z37 / YEAR / 202,380.0,410.0,394.0
instytucja gospodarki budżetowej,4 COI,4.0 / 210.0 / VERSION_ID / 68485845.0 / CENTRALNY OŚRODEK INFORMATYKI / Formatted: / N / DOC_ATT_TYPE / 12.0 / TABELA 4 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Czę,1772.0,1745.0,1727.0
instytucja gospodarki budżetowej,5 CUL,5.0 / 200.0 / VERSION_ID / 68294218.0 / CENTRUM USŁUG LOGISTYCZNYCH / Formatted: / N / DOC_ATT_TYPE / 12.0 / TABELA 5 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część,280.0,280.0,224.0
instytucja gospodarki budżetowej,6 COS,6.0 / 196.0 / VERSION_ID / 68243139.0 / CENTRALNY OŚRODEK SPORTU / Formatted: / N / DOC_ATT_TYPE / 12.0 / TABELA 6 / XX_RAP_SPRAW_Z37 / YEAR / 2025.0 / Część A ,774.0,774.0,683.0
instytucja gospodarki budżetowej,7 ZIOTP,7.0 / 179.0 / VERSION_ID / 68069432.0 / ZAKŁAD INWESTYCJI ORGANIZACJI TRAKTATU PÓŁNOCNOATLANTYCKIEGO / Formatted: / N / DOC_ATT_TYPE / 12.0 / TABELA 7 / XX_RAP_,121.0,121.0,90.0
instytucja gospodarki budżetowej,8 PDZWJ,8.0 / 158.0 / VERSION_ID / 68035920.0 / PROFILAKTYCZNY DOM ZDROWIA W JURACIE / Formatted: / N / DOC_ATT_TYPE / 12.0 / TABELA 8 / XX_RAP_SPRAW_Z37 / YEAR / 2025.,5.0,5.0,5.5
instytucja gospodarki budżetowej,9 KIM_likw,9.0 / 179.0 / VERSION_ID / 67828961.0 / KRAJOWY INSTYTUT MEDIÓW W LIKWIDACJI* / Formatted: / N / DOC_ATT_TYPE / 12.0 / TABELA 9 / XX_RAP_SPRAW_Z37 / YEAR / 2025,42.0,42.0,35.25
