dept,jednostka,url,liczba,zdanie
DLO,"WOJEWÓDZKI INSPEKTORAT FARMACEUTYCZNY W ŁODZI ul. Fabryczna 25, 90-341 ŁÓDŹ Wystąpienie Da","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlo~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf",,"W ramach tej grupy ekonomicznej środki przeznaczono przede wszystkim na wynagrodzenia z pochodnymi (3802,1 tys. zł) oraz opłaty związane z wynajmem pomieszczeń na potrzeby WIF (229,9 tys. zł). (akta kontroli str. 8-9) Przeciętne z"
DLO,"WOJEWÓDZKI URZĄD OCHRONY ZABYTKÓW W ŁODZI ul. Piotrkowska 99, 90-425 ŁÓDŹ Wystąpienie Data","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlo~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf","52,78","Zakupione składniki majątku wprowadzono do ewidencji środków trwałych i właściwie sklasyfikowano. (akta kontroli str. 213-248, 742-743) Przeciętne zatrudnienie na koniec 2024 r. wyniosło 52,78 etatu i w porównaniu do roku 2024 był"
DLZ,"Komenda Wojewódzka Policji w Gorzowie Wielkopolskim 66-400 Gorzów Wielkopolski, ul. Kwiato","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlz~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",30,"Faktyczne zatrudnienie w2025 r. wyniosło 30 etatów; – § 407 Nagrody roczne dla funkcjonariuszy służby (plan – 470,0 tys. zł, wykonanie – 136,2 tys. zł, tj. 29,0%) - plan na nagrody roczne dla funkcjonariuszy w planie finansowym 3 "
DLZ,"Komenda Wojewódzka Policji w Gorzowie Wielkopolskim 66-400 Gorzów Wielkopolski, ul. Kwiato","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlz~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf",,"U. z 2025 r. poz. 63), która weszła w życie 20 stycznia 2025 r. z mocą obowiązywania od dnia 1 stycznia 2025 r. 5 Na podstawie danych z systemu Informatyczny System Obsługi Budżetu Państwa TREZOR (dalej: TREZOR). 6 Poniżej 80% pla"
DLZ,"Komenda Wojewódzka Policji w Gorzowie Wielkopolskim 66-400 Gorzów Wielkopolski, ul. Kwiato","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlz~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf","3288,46","Przeciętne zatrudnienie w KWP w 2025 r. wyniosło 3 288,46 osób13 i było wyższe w porównaniu do 2024 r. o 79,29 osób, tj. o 2,41% (przeciętne zatrudnienie w 2024 r. wynosiło 3 209,17 osób)"
DLZ,"Komenda Wojewódzka Policji w Gorzowie Wielkopolskim 66-400 Gorzów Wielkopolski, ul. Kwiato","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlz~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf","3435,5","Na koniec 2025 r. zatrudnienie wyniosło 3 435,5 osoby, z tego 2 772 osoby w grupie 10 (żołnierze i funkcjonariusze)"
DLZ,"Komenda Wojewódzka Policji w Gorzowie Wielkopolskim 66-400 Gorzów Wielkopolski, ul. Kwiato","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlz~p_26_001_202601120841541768203714~id0~01,typ,kj.pdf","170,17","Różnice w stanie zatrudnienia w 2025 r. w porównaniu z rokiem 2024 r. w poszczególnych grupach wyniosły: − w grupie 01 osoby nieobjęte mnożnikowymi systemami wynagrodzeń – wzrost zatrudnienia o 1,43 etatu (w 2025 r. przeciętne zat"
DLZ,"Miejski Zakład Komunikacyjny sp. z o.o. w Żaganiu 68-100 Żagań, ul. Młynarska 6 Wystąpieni","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlz~p_26_001_202601120841541768203714~id2~01,typ,kj.pdf",,NOT_FOUND
DLZ,"Zielonogórski Związek Powiatowo-Gminny 66-016 Czerwieńsk, ul. Ogrodowa 0 Wystąpienie Data ","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dlz~p_26_001_202601120841541768203714~id1~01,typ,kj.pdf",,NOT_FOUND
DMK,"CENTRUM ZAKUPÓW DLA SĄDOWNICTWA - INSTYTUCJA GOSP. BUDŻET. W KRAKOWIE ul. Wadowicka 6, 30-","https://www.nik.gov.pl/kontrole/wyniki-kontroli-nik/pobierz,dmk~p_26_001_202601120841541768203714~id3~01,typ,kj.pdf",,NOT_FOUND
